Stim,P_1.5mM_20Hz,P_1.5mM_50Hz,P_2.5mM_20Hz,P_2.5mM_50Hz,P_4mM_20Hz,P_4mM_50Hz,N_1.5mM_20Hz,N_1.5mM_50Hz,N_2.5mM_20Hz,N_2.5mM_50Hz,N_4mM_20Hz,N_4mM_50Hz,PPR_1.5mM_20Hz,PPR_1.5mM_50Hz,PPR_2.5mM_20Hz,PPR_2.5mM_50Hz,PPR_4mM_20Hz,PPR_4mM_50Hz
1.0,0.21,0.27,0.41,0.37,0.7,0.59,1.1,1.2,1.5,1.5,3.8,2.6,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.36,0.49,0.57,0.57,0.72,0.69,1.3,1.6,2.8,2.8,5.9,5.6,1.75,1.81,1.38,1.54,1.04,1.17
3.0,0.41,0.55,0.55,0.6,0.69,0.72,1.8,2.3,2.8,3.6,6.2,5.6,2.0,2.01,1.34,1.64,0.98,1.22
4.0,0.4,0.53,0.55,0.64,0.66,0.68,1.6,2.4,2.7,3.6,6.1,6.8,1.95,1.94,1.33,1.73,0.95,1.15
5.0,0.39,0.6,0.56,0.64,0.7,0.72,1.4,2.4,2.7,3.9,5.3,6.7,1.91,2.19,1.36,1.74,1.01,1.23
6.0,0.41,0.56,0.56,0.66,0.64,0.73,1.4,2.5,2.7,4.0,5.8,5.6,2.0,2.05,1.36,1.79,0.92,1.24
7.0,0.41,0.57,0.55,0.63,0.68,0.72,1.5,2.9,2.8,4.4,5.3,6.0,1.99,2.1,1.34,1.72,0.97,1.22
8.0,0.34,0.64,0.55,0.63,0.68,0.7,1.4,2.4,2.7,4.5,5.2,6.7,1.63,2.35,1.34,1.72,0.97,1.19
9.0,0.41,0.61,0.58,0.64,0.68,0.74,1.4,2.2,2.7,5.0,5.4,6.9,2.0,2.23,1.4,1.75,0.97,1.27
10.0,0.39,0.58,0.57,0.66,0.65,0.74,1.5,2.9,2.6,4.9,5.2,6.9,1.87,2.14,1.38,1.8,0.93,1.26
